iter	P4Metric	Logloss
171	0.8721182315	0.1508979229
172	0.8756354737	0.1505698162
173	0.8773770592	0.1502300156
174	0.8773770592	0.1499583906
175	0.8773770592	0.1496286468
176	0.8773770592	0.1493488455
177	0.8773770592	0.1488029707
178	0.880309871	0.1484089887
179	0.878580801	0.1481485324
180	0.878580801	0.1477850996
181	0.8815154141	0.1474096617
182	0.8808268093	0.146698697
183	0.882027884	0.1462817663
184	0.882027884	0.1461334852
185	0.882027884	0.1458851085
186	0.882027884	0.1454462468
187	0.8791074617	0.144679154
188	0.8791074617	0.1444948342
189	0.882027884	0.143892938
190	0.8837349663	0.1435607043
191	0.8837349663	0.1429933233
192	0.8837349663	0.1427898258
193	0.8837349663	0.1426608176
194	0.8837349663	0.1425708247
195	0.887352863	0.1419129298
196	0.8907265281	0.1410656229
197	0.8907265281	0.1407618088
198	0.8936054954	0.1404258925
199	0.8923974498	0.1401665854
200	0.8952645713	0.1394069685
201	0.8952645713	0.1390663652
202	0.8964743167	0.1388303537
203	0.8964743167	0.1385748177
204	0.8964743167	0.138203914
205	0.899333077	0.1374997434
206	0.900968766	0.1372315514
207	0.900968766	0.1370188986
208	0.9042099527	0.1367448145
209	0.9074116282	0.1362615593
210	0.9058156744	0.1357625056
211	0.9074116282	0.1354063612
212	0.9074116282	0.1349856863
213	0.9074116282	0.1343067409
214	0.9058156744	0.1338565789
215	0.908997922	0.1333123938
216	0.9105746623	0.1330987892
217	0.908997922	0.1324614637
218	0.9105746623	0.1321050944
219	0.9105746623	0.1318155115
220	0.9152486022	0.1312960463
221	0.9136998998	0.130947908
222	0.9152486022	0.1307762294
223	0.9188579242	0.1302684164
224	0.9176518271	0.1299874296
225	0.9191884948	0.1297485338
226	0.9195159202	0.1292927999
227	0.9222348002	0.1287866662
228	0.9222348002	0.128311999
229	0.9222348002	0.128152747
230	0.9222348002	0.1280187967
231	0.9207161199	0.1276843424
232	0.9207161199	0.1275382981
233	0.923436503	0.1267762808
234	0.923436503	0.1264704905
235	0.9246411706	0.1261560231
236	0.923436503	0.1259597873
237	0.9261480643	0.1255295961
238	0.9261480643	0.1250338486
239	0.9261480643	0.1247920705
240	0.9288508742	0.1244952846
241	0.9303388739	0.124209033
242	0.9303388739	0.1239509677
243	0.9318183106	0.1237750382
244	0.9320890615	0.1230806127
245	0.9320890615	0.1227565346
246	0.9320890615	0.1223106092
247	0.9320890615	0.1220373737
248	0.9347518589	0.1214612165
249	0.9332892756	0.1212380335
250	0.9362061492	0.1209275044
251	0.9362061492	0.1206267308
252	0.9362061492	0.1203695284
253	0.933814526	0.1199052715
254	0.933814526	0.1195845999
255	0.9350088951	0.1193724416
256	0.9350088951	0.1192645916
257	0.9320890615	0.1191415343
258	0.9350088951	0.1189031833
259	0.9350088951	0.1184590662
260	0.933814526	0.1183694286
261	0.9352635526	0.1179033616
262	0.937895898	0.117666221
263	0.9367044561	0.1174690268
264	0.9340735097	0.1172406205
265	0.9340735097	0.1168311536
266	0.9364564571	0.1163133051
267	0.9367044561	0.1157158529
268	0.9367044561	0.1154580778
269	0.937895898	0.1148706604
270	0.9393273027	0.1144031164
271	0.9367044561	0.1139439203
272	0.9381373215	0.1135652435
273	0.9395622328	0.1133075278
274	0.9435741332	0.1128393007
275	0.9449742208	0.1123908395
276	0.9449742208	0.1119723346
277	0.9463666804	0.1118287526
278	0.9475521751	0.1115229066
